customer_id,credit_score,loan_exposure,late_payments
1,630,33528.98346483735,8
2,799,4803.432588044429,0
3,497,11168.20214788669,5
4,498,6865.261765824394,5
5,659,39759.67057294755,5
6,692,17443.991210486118,7
7,791,50640.91992679621,8
8,574,30950.387992253327,9
9,590,21715.428298797928,8
10,536,10001.937573575517,9
11,409,26714.615099412196,4
12,599,4260.064980301645,7
13,557,13053.600637956622,1
14,751,8525.509997139563,4
15,447,17546.12167302199,9
16,497,24986.692160233,7
17,638,17326.10798824405,0
18,427,25500.98412622875,3
19,602,31712.996457036905,2
20,428,33482.591615112506,7
21,821,35064.25349075392,7
22,652,19829.454518012553,4
23,799,7686.328135666416,5
24,622,18816.723698969057,4
25,461,12205.88344345897,2
26,463,14154.991636048864,9
27,423,12482.27277164188,6
28,421,10307.845458182264,3
29,644,15073.342313345947,8
30,513,6308.925710531152,7
31,736,12149.744261763406,3
32,562,17491.928932679373,6
33,448,38717.78319455191,3
34,702,8602.265096590947,1
35,488,7789.5116480134,0
36,711,30393.1369058783,4
37,761,14145.009083663857,6
38,675,15387.056286684758,1
39,479,15381.49333145047,3
40,820,27891.534779579542,8
41,807,12872.049969748943,9
42,709,1828.4740830762514,5
43,712,20176.73350949859,8
44,727,13179.418980963059,6
45,819,2570.1325504770343,5
46,705,16465.371662335634,7
47,480,2025.477809092128,7
48,598,29937.486969881495,3
49,590,25916.49006655673,3
50,476,4760.538645736549,1
51,523,3986.763972615701,8
52,678,16627.041391906518,7
53,586,25598.270189408817,4
54,718,11717.117487326499,1
55,456,8539.48087932595,5
56,811,45939.46123075163,6
57,648,17893.881087188332,2
58,640,14812.786303271385,2
59,476,23239.451961738523,4
60,585,35733.96756914381,5
61,547,29433.861927573646,5
62,680,26605.01020612694,4
63,631,14423.759540747415,1
64,825,24131.28082765516,4
65,605,10797.67295462533,3
66,563,34849.15104473044,5
67,834,7583.156900944084,4
68,432,10043.538316266062,9
69,848,36136.2169196653,4
70,675,21732.584513814185,9
71,632,10205.794658727982,9
72,564,26427.825583453912,7
73,674,26725.137052424874,4
74,730,8046.152018345247,4
75,727,15123.678343602269,6
76,756,16445.40405546294,1
77,759,17822.779848887185,9
78,721,37024.791942455675,8
79,484,16141.364205487444,9
80,430,12268.275529902006,8
81,626,16786.545129509504,4
82,770,14616.743318170891,7
83,817,26002.493232089895,7
84,587,27985.597018829845,1
85,802,9713.212652969463,4
86,731,22043.516509980287,8
87,520,20479.4960665541,3
88,532,10137.82135553725,8
89,807,15098.925518158125,0
