customer_id,age,income,employment_years
1,29,65780.36511136909,12
2,55,68015.00537474893,8
3,31,70942.64431906879,1
4,28,78724.09053290481,29
5,33,75804.7236412042,16
6,48,62657.10205933484,15
7,30,76115.82582387027,12
8,55,72053.8871631396,18
9,64,50159.12207255475,24
10,42,64568.08801175864,28
11,62,70692.45697050796,8
12,41,80442.6302498409,13
13,64,78863.84636172773,4
14,33,40854.309019045846,25
15,29,51364.99472033161,26
16,35,76030.81022057365,1
17,52,59732.92408611058,2
18,40,53031.420764410825,29
19,53,42649.78994094483,27
20,61,54748.095782323195,2
21,63,66965.32126859335,22
22,68,68101.55377758824,11
23,23,24957.74360854947,19
24,22,99730.58857993128,20
25,53,83295.7500617267,17
26,26,29896.821892812535,2
27,57,63613.4250317965,12
28,30,85881.43816612738,4
29,59,45231.9845327051,14
30,40,64800.73747557661,28
31,53,46179.15429918354,26
32,65,53839.13517665646,10
33,49,56546.34679406471,14
34,64,72723.57743691791,3
35,22,43155.12376679912,26
36,34,15164.656192737704,15
37,38,33632.799975603455,27
38,68,67728.35048566127,3
39,51,43933.31490597607,10
40,51,59500.88308130304,10
41,50,91998.78128034153,13
42,41,23689.76926537181,28
43,28,49819.37796240235,4
44,66,38481.35303205006,20
45,46,13286.036689680506,28
46,52,74332.50455088638,14
47,28,68693.00343303062,3
48,41,84272.65882590953,20
49,53,113900.07237228245,14
50,28,47471.34068180782,2
51,26,79662.39950983517,27
52,37,39918.1067153308,21
53,46,89889.68992242117,9
54,63,31744.759136006436,8
55,41,63859.18094671741,4
56,28,42207.37223602756,7
57,33,63777.51763916027,27
58,46,64377.35907484347,11
59,54,62066.47153027179,8
60,33,89823.8561841941,29
61,67,94532.97158486332,4
62,63,26498.209765215637,5
63,25,99749.34605872177,10
64,64,39482.20030425613,16
65,69,59578.44043725872,5
66,39,9485.734356971436,11
67,41,58164.692766060914,4
68,40,53070.00992686079,6
69,39,26541.167382043874,13
70,48,85473.09286972796,16
71,33,29992.62544311284,17
72,29,56900.98821419954,12
73,27,57692.698880536416,29
74,63,51669.4785252977,13
75,45,87758.06107582278,20
76,55,69705.34230688284,18
77,68,72323.79414470258,12
78,36,71211.33622093979,8
79,31,51147.473670492975,20
80,68,64147.55027221663,19
81,63,74658.75734002056,19
82,61,42285.12125395874,2
83,59,54117.74148953958,29
84,27,52733.85435041471,6
85,52,67525.82508909062,17
86,55,52373.100498361884,17
87,66,58971.48654536697,26
88,29,67980.4609129006,22
89,64,47546.703099773455,16
90,33,32456.961860792955,21
91,47,76567.48831952657,28
92,24,75511.61637829714,12
93,22,83219.85976206452,6
94,69,61004.09626137371,20
95,22,70148.23413694908,19
96,30,81153.31749129914,3
97,32,71787.74967090404,28
98,37,77457.24125943253,24
99,43,63904.07300996573,5
100,47,38344.57926719912,13
101,60,60196.51765580077,2
102,39,69093.12102605331,15
103,28,57684.21122691733,4
104,62,67344.82553287929,16
105,30,64462.241843878684,20
106,33,55036.76836899623,26
107,35,55766.93228761431,10
108,23,54486.8065499954,21
109,58,69541.5124335505,21
110,58,62502.27824949327,23
111,30,73356.51570149654,28
112,31,34025.46833327731,8
113,28,66548.8106626436,21
114,59,68348.54106819523,6
115,52,90099.76792223845,28
116,23,49867.095862243696,29
117,44,61107.992614546674,24
118,34,48127.95937737865,27
119,28,90694.89471601218,14
120,65,68865.71379199617,26
121,59,63093.58943789014,4
122,52,34728.50934260734,17
123,40,39363.74807899685,10
124,37,-9342.678619544691,22
125,68,36584.513691400534,7
126,52,52793.01035341384,10
127,61,36997.90219309313,11
128,52,82213.17846841016,12
129,52,47060.15700610858,5
130,59,105196.1085505471,10
131,31,32082.160893312823,7
132,37,36054.756162506565,10
133,58,94296.50262460634,25
134,26,74292.47483512711,6
135,59,65243.91373285923,6
136,33,29808.06075163024,10
137,40,52104.44534977411,5
138,62,30997.73758516614,15
139,50,68442.68663936254,22
140,48,56508.27930868612,13
141,59,63178.63861517784,22
142,40,33186.19055378258,11
143,50,71348.41756871932,10
144,24,74264.9503819246,6
145,41,46070.797062910075,18
